hi	sat	en	pack
यहाँ आओ	ᱱᱚᱰᱮ ᱦᱤᱡᱩᱜ ᱢᱮ᱾	Come here.	Pack 1 — Basic Classroom Commands 🔴
वहाँ जाओ	ᱚᱸᱰᱮ ᱪᱟᱞᱟᱜ ᱢᱮ᱾	Go there.	Pack 1 — Basic Classroom Commands 🔴
सामने आओ	ᱞᱟᱦᱟ ᱥᱮᱫ ᱦᱤᱡᱩᱜ ᱢᱮ᱾	Come to the front.	Pack 1 — Basic Classroom Commands 🔴
अपनी जगह पर वापस जाओ	ᱟᱢᱟᱜ ᱴᱷᱟᱶ ᱛᱮ ᱨᱩᱣᱟᱹᱲ ᱪᱟᱞᱟᱜ ᱢᱮ᱾	Go back to your seat.	Pack 1 — Basic Classroom Commands 🔴
बैठ जाओ	ᱫᱩᱲᱩᱵ ᱢᱮ᱾	Sit down.	Pack 1 — Basic Classroom Commands 🔴
खड़े हो जाओ	ᱛᱤᱸᱜᱩᱱ ᱢᱮ᱾	Stand up.	Pack 1 — Basic Classroom Commands 🔴
शांत रहो	ᱛᱷᱤᱨᱩᱜ ᱢᱮ᱾	Be quiet.	Pack 1 — Basic Classroom Commands 🔴
चुप रहो	ᱛᱷᱤᱨᱩᱜ ᱢᱮ᱾	Be quiet.	Pack 1 — Basic Classroom Commands 🔴
ध्यान से सुनो	ᱫᱷᱭᱟᱱ ᱛᱮ ᱟᱸᱡᱚᱢ ᱢᱮ᱾	Listen carefully.	Pack 1 — Basic Classroom Commands 🔴
ध्यान दो	ᱫᱷᱭᱟᱱ ᱮᱢ ᱢᱮ᱾	Pay attention.	Pack 1 — Basic Classroom Commands 🔴
बोर्ड पर देखो	ᱵᱚᱨᱰ ᱥᱮᱫ ᱠᱚᱭᱚᱜᱽ ᱢᱮ᱾	Look at the board.	Pack 1 — Basic Classroom Commands 🔴
मेरी तरफ देखो	ᱤᱧ ᱥᱮᱫ ᱠᱚᱭᱚᱜᱽ ᱢᱮ᱾	Look at me.	Pack 1 — Basic Classroom Commands 🔴
अपनी किताब में देखो	ᱟᱢᱟᱜ ᱯᱩᱛᱷᱤ ᱥᱮᱫ ᱠᱚᱭᱚᱜᱽ ᱢᱮ᱾	Look at your book.	Pack 1 — Basic Classroom Commands 🔴
अपनी किताब खोलो	ᱟᱢᱟᱜ ᱯᱩᱛᱷᱤ ᱡᱷᱤᱡᱽ ᱢᱮ᱾	Open your book.	Pack 1 — Basic Classroom Commands 🔴
अपनी किताब बंद करो	ᱟᱢᱟᱜ ᱯᱩᱛᱷᱤ ᱵᱚᱸᱫᱚᱭ ᱢᱮ᱾	Close your book.	Pack 1 — Basic Classroom Commands 🔴
अपनी कॉपी खोलो	ᱟᱢᱟᱜ ᱠᱟᱹᱯᱤ ᱡᱷᱤᱡᱽ ᱢᱮ᱾	Open your notebook.	Pack 1 — Basic Classroom Commands 🔴
अपनी कॉपी बंद करो	ᱟᱢᱟᱜ ᱠᱟᱹᱯᱤ ᱵᱚᱸᱫᱚᱭ ᱢᱮ᱾	Close your notebook.	Pack 1 — Basic Classroom Commands 🔴
अपनी कॉपी निकालो	ᱟᱢᱟᱜ ᱠᱟᱹᱯᱤ ᱚᱰᱚᱠ ᱢᱮ᱾	Take out your notebook.	Pack 1 — Basic Classroom Commands 🔴
अपनी कॉपी रख दो	ᱟᱢᱟᱜ ᱠᱟᱹᱯᱤ ᱫᱚᱦᱚᱭ ᱢᱮ᱾	Put your notebook away.	Pack 1 — Basic Classroom Commands 🔴
अपना हाथ उठाओ	ᱟᱢᱟᱜ ᱛᱤ ᱛᱩᱞ ᱢᱮ᱾	Raise your hand.	Pack 1 — Basic Classroom Commands 🔴
अपना हाथ नीचे करो	ᱟᱢᱟᱜ ᱛᱤ ᱟᱹᱲᱜᱚᱭ ᱢᱮ᱾	Put your hand down.	Pack 1 — Basic Classroom Commands 🔴
