en	hi	sat	src	kind	pos	flags	variants
(To you)		ᱟᱢ ᱜᱮ	Hembram/Glossary	word			
0		᱐	Hembram/OpenDict	word	number		
1		᱑	Hembram/OpenDict	word	number		
10		᱑᱐	Hembram/OpenDict	word	number		
100		᱑᱐᱐	Hembram/OpenDict	word	number		
11		᱑᱑	Hembram/OpenDict	word	number		
12		᱑᱒	Hembram/OpenDict	word	number		
13		᱑᱓	Hembram/OpenDict	word	number		
14		᱑᱔	Hembram/OpenDict	word	number		
15		᱑᱕	Hembram/OpenDict	word	number		
16		᱑᱖	Hembram/OpenDict	word	number		
17		᱑᱗	Hembram/OpenDict	word	number		
18		᱑᱘	Hembram/OpenDict	word	number		
19		᱑᱙	Hembram/OpenDict	word	number		
2		᱒	Hembram/OpenDict	word	number		
20		᱒᱐	Hembram/OpenDict	word	number		
21		᱒᱑	Hembram/OpenDict	word	number		
22		᱒᱒	Hembram/OpenDict	word	number		
23		᱒᱓	Hembram/OpenDict	word	number		
24		᱒᱔	Hembram/OpenDict	word	number		
25		᱒᱕	Hembram/OpenDict	word	number		
26		᱒᱖	Hembram/OpenDict	word	number		
27		᱒᱗	Hembram/OpenDict	word	number		
28		᱒᱘	Hembram/OpenDict	word	number		
29		᱒᱙	Hembram/OpenDict	word	number		
3		᱓	Hembram/OpenDict	word	number		
30		᱓᱐	Hembram/OpenDict	word	number		
31		᱓᱑	Hembram/OpenDict	word	number		
32		᱓᱒	Hembram/OpenDict	word	number		
33		᱓᱓	Hembram/OpenDict	word	number		
34		᱓᱔	Hembram/OpenDict	word	number		
35		᱓᱕	Hembram/OpenDict	word	number		
36		᱓᱖	Hembram/OpenDict	word	number		
37		᱓᱗	Hembram/OpenDict	word	number		
38		᱓᱘	Hembram/OpenDict	word	number		
39		᱓᱙	Hembram/OpenDict	word	number		
4		᱔	Hembram/OpenDict	word	number		
40		᱔᱐	Hembram/OpenDict	word	number		
41		᱔᱑	Hembram/OpenDict	word	number		
42		᱔᱒	Hembram/OpenDict	word	number		
43		᱔᱓	Hembram/OpenDict	word	number		
44		᱔᱔	Hembram/OpenDict	word	number		
45		᱔᱕	Hembram/OpenDict	word	number		
46		᱔᱖	Hembram/OpenDict	word	number		
47		᱔᱗	Hembram/OpenDict	word	number		
48		᱔᱘	Hembram/OpenDict	word	number		
49		᱔᱙	Hembram/OpenDict	word	number		
5		᱕	Hembram/OpenDict	word	number		
50		᱕᱐	Hembram/OpenDict	word	number		
51		᱕᱑	Hembram/OpenDict	word	number		
52		᱕᱒	Hembram/OpenDict	word	number		
53		᱕᱓	Hembram/OpenDict	word	number		
54		᱕᱔	Hembram/OpenDict	word	number		
55		᱕᱕	Hembram/OpenDict	word	number		
56		᱕᱖	Hembram/OpenDict	word	number		
57		᱕᱗	Hembram/OpenDict	word	number		
58		᱕᱘	Hembram/OpenDict	word	number		
59		᱕᱙	Hembram/OpenDict	word	number		
6		᱖	Hembram/OpenDict	word	number		
60		᱖᱐	Hembram/OpenDict	word	number		
61		᱖᱑	Hembram/OpenDict	word	number		
62		᱖᱒	Hembram/OpenDict	word	number		
63		᱖᱓	Hembram/OpenDict	word	number		
64		᱖᱔	Hembram/OpenDict	word	number		
65		᱖᱕	Hembram/OpenDict	word	number		
66		᱖᱖	Hembram/OpenDict	word	number		
